symptom_en,symptom_pt,sympton_pt2,sympton_pt3
symptom_en,symptom_pt,symptom_pt2,symptom_pt3
abnormal appearing skin,alteração no aspecto da pele,alteração na aparência da pele,pele com aparência anormal
abnormal breathing sounds,sons respiratórios anormais,ruídos respiratórios anormais,sons anormais ao respirar
abnormal involuntary movements,movimentos involuntários anormais,movimentos involuntários incomuns,movimentos anormais que não consigo controlar
abnormal movement of eyelid,movimento anormal da pálpebra,movimento incomum da pálpebra,pálpebra se movendo de forma anormal
absence of menstruation,ausência de menstruação,falta de menstruação,não estou menstruando
abusing alcohol,abuso de álcool,consumo excessivo de álcool,bebo álcool em excesso
ache all over,dor generalizada,dor pelo corpo,dor no corpo inteiro
acne or pimples,acne ou espinhas,espinhas e acne,pele cheia de espinhas
allergic reaction,reação alérgica,resposta alérgica,meu corpo teve uma reação à alergia
ankle pain,dor no tornozelo,dor na região do tornozelo,meu tornozelo está doendo
ankle swelling,inchaço no tornozelo,tornozelo inchado,meu tornozelo está inchado
antisocial behavior,comportamento antissocial,comportamento social inadequado,comportamento contra as normas sociais
anxiety and nervousness,ansiedade e nervosismo,ansiedade e agitação,estou muito ansioso e nervoso
apnea,apneia,pausa na respiração,paro de respirar por alguns instantes
arm lump or mass,nódulo ou massa no braço,caroço no braço,senti um caroço no braço
arm pain,dor no braço,dor no membro superior,meu braço está doendo
arm stiffness or tightness,rigidez ou sensação de aperto no braço,tensão ou rigidez no braço,sinto meu braço rígido ou apertado
arm swelling,inchaço no braço,edema no braço,meu braço está inchado
arm weakness,fraqueza no braço,perda de força no braço,meu braço está fraco
back cramps or spasms,cãibras ou espasmos nas costas,contrações musculares nas costas,minhas costas estão tendo espasmos
back mass or lump,nódulo ou massa nas costas,caroço nas costas,senti um caroço nas costas
back pain,dor nas costas,dor na região das costas,minhas costas estão doendo
back stiffness or tightness,rigidez ou sensação de aperto nas costas,tensão ou rigidez nas costas,sinto minhas costas rígidas ou apertadas
bleeding from ear,sangramento no ouvido,sangue saindo do ouvido,meu ouvido está sangrando
bleeding from eye,sangramento no olho,sangue no olho,meu olho está sangrando
bleeding gums,sangramento nas gengivas,gengivas sangrando,minhas gengivas estão sangrando
bleeding or discharge from nipple,sangramento ou secreção no mamilo,sangue ou líquido saindo do mamilo,meu mamilo está sangrando ou soltando secreção
blindness,cegueira,perda da visão,não consigo enxergar
blood clots during menstrual periods,coágulos sanguíneos durante a menstruação,coágulos durante a menstruação,estou eliminando coágulos quando menstruo
blood in stool,sangue nas fezes,presença de sangue nas fezes,estou vendo sangue nas fezes
blood in urine,sangue na urina,presença de sangue na urina,minha urina está com sangue
bones are painful,dor nos ossos,ossos doloridos,sinto dor nos ossos
breathing fast,respiração acelerada,respiração rápida,estou respirando muito rápido
bumps on penis,protuberâncias no pênis,caroços no pênis,apareceram caroços no meu pênis
burning abdominal pain,dor abdominal em queimação,dor abdominal ardente,sinto uma queimação na barriga
burning chest pain,dor em queimação no peito,dor ardente no peito,sinto uma queimação no peito
changes in stool appearance,alteração no aspecto das fezes,mudança na aparência das fezes,minhas fezes estão diferentes
chest tightness,aperto no peito,opressão no peito,sinto o peito apertado
chills,calafrios,arrepios,sinto muito frio e estou tremendo
cloudy eye,opacidade no olho,olho com aspecto turvo,meu olho está ficando esbranquiçado ou turvo
congestion in chest,congestão no peito,acúmulo de secreção no peito,sinto o peito congestionado
constipation,constipação,prisão de ventre,estou com dificuldade para evacuar
