symptom_en,symptom_pt
abnormal appearing skin,alteração no aspecto da pele
abnormal breathing sounds,sons respiratórios anormais
abnormal involuntary movements,movimentos involuntários anormais
abnormal movement of eyelid,movimento anormal da pálpebra
absence of menstruation,ausência de menstruação
abusing alcohol,abuso de álcool
ache all over,dor generalizada
acne or pimples,acne ou espinhas
allergic reaction,reação alérgica
ankle pain,dor no tornozelo
ankle swelling,inchaço no tornozelo
antisocial behavior,comportamento antissocial
anxiety and nervousness,ansiedade e nervosismo
apnea,apneia
arm lump or mass,nódulo ou massa no braço
arm pain,dor no braço
arm stiffness or tightness,rigidez ou sensação de aperto no braço
arm swelling,inchaço no braço
arm weakness,fraqueza no braço
back cramps or spasms,cãibras ou espasmos nas costas
back mass or lump,nódulo ou massa nas costas
back pain,dor nas costas
back stiffness or tightness,rigidez ou sensação de aperto nas costas
bleeding from ear,sangramento no ouvido
bleeding from eye,sangramento no olho
bleeding gums,sangramento nas gengivas
bleeding or discharge from nipple,sangramento ou secreção no mamilo
blindness,cegueira
blood clots during menstrual periods,coágulos sanguíneos durante a menstruação
blood in stool,sangue nas fezes
blood in urine,sangue na urina
bones are painful,dor nos ossos
breathing fast,respiração acelerada
bumps on penis,protuberâncias no pênis
burning abdominal pain,dor abdominal em queimação
burning chest pain,dor em queimação no peito
changes in stool appearance,alteração no aspecto das fezes
chest tightness,aperto no peito
chills,calafrios
cloudy eye,opacidade no olho
congestion in chest,congestão no peito
constipation,constipação
coryza,coriza
cough,tosse
coughing up sputum,tosse com expectoração
cramps and spasms,cãibras e espasmos
cross eyed,estrabismo
decreased appetite,diminuição do apetite
decreased heart rate,frequência cardíaca reduzida
delusions or hallucinations,delírios ou alucinações
depression,depressão
depressive or psychotic symptoms,sintomas depressivos ou psicóticos
diaper rash,assadura
diarrhea,diarreia
difficulty breathing,dificuldade para respirar
difficulty eating,dificuldade para se alimentar
difficulty in swallowing,dificuldade para engolir
difficulty speaking,dificuldade para falar
diminished hearing,diminuição da audição
diminished vision,diminuição da visão
disturbance of memory,alteração da memória
dizziness,tontura
double vision,visão dupla
drug abuse,abuso de drogas
dry or flaky scalp,couro cabeludo seco ou descamando
ear pain,dor de ouvido
elbow pain,dor no cotovelo
elbow swelling,inchaço no cotovelo
excessive anger,raiva excessiva
excessive appetite,apetite excessivo
excessive urination at night,urinar excessivamente à noite
eye burns or stings,ardor ou queimação nos olhos
eye deviation,desvio ocular
eye moves abnormally,movimento anormal dos olhos
eye redness,vermelhidão nos olhos
eyelid lesion or rash,lesão ou erupção na pálpebra
eyelid swelling,inchaço na pálpebra
facial pain,dor facial
fainting,desmaio
fatigue,fadiga
fears and phobias,medos e fobias
feeling ill,mal-estar
fever,febre
flatulence,flatulência
flu like syndrome,síndrome gripal
fluid in ear,acúmulo de líquido no ouvido
fluid retention,retenção de líquidos
focal weakness,fraqueza focal
foot or toe pain,dor no pé ou nos dedos do pé
foot or toe stiffness or tightness,rigidez ou sensação de aperto no pé ou nos dedos do pé
foot or toe swelling,inchaço no pé ou nos dedos do pé
foreign body sensation in eye,sensação de corpo estranho no olho
frequent menstruation,menstruação frequente
frequent urination,micção frequente
frontal headache,dor de cabeça frontal
groin mass,nódulo ou massa na virilha
groin pain,dor na virilha
gum pain,dor na gengiva
hand or finger lump or mass,nódulo ou massa na mão ou nos dedos
hand or finger pain,dor na mão ou nos dedos
hand or finger stiffness or tightness,rigidez ou sensação de aperto na mão ou nos dedos
hand or finger swelling,inchaço na mão ou nos dedos
hand or finger weakness,fraqueza na mão ou nos dedos
headache,dor de cabeça
heartburn,azia
heavy menstrual flow,fluxo menstrual intenso
hemoptysis,hemoptise
hesitancy,dificuldade para iniciar a micção
hip pain,dor no quadril
hip stiffness or tightness,rigidez ou sensação de aperto no quadril
hoarse voice,rouquidão
hostile behavior,comportamento hostil
hot flashes,ondas de calor
hurts to breath,dor ao respirar
hysterical behavior,comportamento histérico
impotence,impotência
increased heart rate,frequência cardíaca elevada
infant feeding problem,dificuldade na alimentação do bebê
infertility,infertilidade
insomnia,insônia
intermenstrual bleeding,sangramento entre os períodos menstruais
involuntary urination,micção involuntária
irregular appearing nails,alteração no aspecto das unhas
irregular appearing scalp,alteração no aspecto do couro cabeludo
irregular belly button,alteração no aspecto do umbigo
irregular heartbeat,batimentos cardíacos irregulares
irritable infant,bebê irritadiço
itchiness of eye,coceira nos olhos
